herb_name,city,town,collection_date,longitude,latitude,soil_pH,soil_Cr,soil_Ni,soil_Cu,soil_Zn,soil_As,soil_Cd,soil_Hg,soil_Pb,herb_Cr,herb_Ni,herb_Cu,herb_Zn,herb_As,herb_Cd,herb_Hg,herb_Pb
白首乌,盐城市,滨海县,2024-12-30,120.276832,34.212662,7.23,69,36,27,83,15,0.252,0.025,26,0.233,0.771,10.435,23.402,0.058,0.024,-0.004,0.114
白首乌,盐城市,滨海县,2024-12-30,120.280435,34.210262,7.34,77,38,27,82,16.8,0.232,0.023,25.8,0.124,0.707,9.958,24.555,0.058,0.031,0.015,0.123
白首乌,盐城市,滨海县,2024-12-30,120.281688,34.208146,7.31,72,37,30,90,16.3,0.211,0.03,26.4,0.449,0.977,11.883,20.633,0.075,0.025,-0.004,0.149
白首乌,盐城市,滨海县,2024-12-30,120.281632,34.216157,7.49,73,37,30,90,16.4,0.222,0.023,27.7,0.134,0.651,7.905,20.132,0.075,0.011,0.007,0.15
白首乌,盐城市,滨海县,2024-12-30,120.283178,34.214343,7.49,72,37,30,90,16.4,0.232,0.026,27,0.118,0.484,7.249,13.757,0.055,0.009,-0.003,0.133
白首乌,盐城市,滨海县,2024-12-30,120.283868,34.216139,7.33,74,38,32,92,16.2,0.238,0.025,27,0.178,0.447,10.526,9.92,0.175,0.027,0.012,0.184
白首乌,盐城市,滨海县,2024-12-30,120.284205,34.21201,7.3,72,36,27,84,15.9,0.231,0.027,27.2,0.247,0.534,6.525,16.261,0.02,0.019,0.001,0.371
白首乌,盐城市,滨海县,2024-12-30,120.285579,34.20953,7.14,69,35,26,80,15.3,0.212,0.026,25.5,0.26,0.53,6.233,17.04,0.06,0.02,0.006,0.092
女贞子,盐城市,盐都区,2024-12-22,120.165118,33.326246,7.32,65,29,23,82,9.4,0.175,0.032,27,0.213,0.355,7.403,20.115,0.049,0.012,0.005,0.177
女贞子,盐城市,盐都区,2024-12-22,120.164998,33.326547,7.38,62,25,19,73,7.1,0.12,0.031,22,0.339,0.387,5.045,12.221,0.074,0.014,0.004,0.242
女贞子,盐城市,盐都区,2024-12-22,120.164872,33.326286,7.22,59,23,21,81,5.5,0.122,0.034,23.2,0.335,0.529,7.252,12.05,0.042,0.006,0.004,0.184
女贞子,盐城市,盐都区,2025-2-2,120.067041,33.323052,7.05,61.864,25.634,21.236,78.526,7.312,0.139,0.033,23.969,0.466,0.601,4.122,16.636,0.124,0.006,0,0.281
女贞子,盐城市,东台市,2025-1-18,120.851215,32.886577,7.29,47.62,19.18,11.44,65.06,6.4,0.14,0.011,16.71,0.295,0.736,6.486,16.809,0.372,0.012,0,0.241
女贞子,盐城市,东台市,2025-1-18,120.760067,32.872784,7.28,56,25,16,110,9.3,0.137,0.014,19.2,0.322,0.347,4.79,25.316,0.228,0.006,0.005,0.23
女贞子,徐州市,邳州市,2024-12-26,117.959583,34.346376,7.33,64,28,25,106,8.2,0.35,0.039,40.1,0.511,0.625,6.919,17.596,0.1,0.025,0,0.619
女贞子,徐州市,邳州市,2024-12-26,117.959386,34.34608,7.23,68,33,28,107,9.5,0.4,0.028,40.5,0.308,0.526,6.532,17.76,0.092,0.022,0,0.622
女贞子,无锡市,滨湖区,2024-12-29,120.283129,31.510488,7.41,73,33,22,72,8.6,0.12,0.213,27.6,0.336,0.513,7.598,19.58,0.081,0.011,0.004,0.355
女贞子,无锡市,滨湖区,2024-12-29,120.281587,31.509846,7.24,74,33,25,83,8.9,0.13,0.104,25.6,1.798,1.751,7.561,23.103,0.131,0.01,0,0.431
女贞子,无锡市,滨湖区,2024-12-29,120.280653,31.508915,7.2,78,34,24,89,8.1,0.17,0.044,24.6,0.239,0.483,6.796,16.647,0.122,0.012,0,0.568
女贞子,南京市,栖霞区,2025-1-10,118.943344,32.102226,7.02,68,34,26,74,10.7,0.16,0.033,24.6,0.362,0.377,7.195,15.787,0.046,0.006,0,0.256
